STATE,DISTRICT,MARKET,COMMODITY,DATE,MIN_PRICE,MAX_PRICE,MOD_PRICE
Jharkhand,Jamtara,Jamtara,Paddy(Dhan),01/08/2019,1793.0,3617.0,1876.0
Karnataka,Raichur,Raichur,Paddy(Dhan),24/02/2019,1836.0,3491.0,1862.0
Maharashtra,Raigad,Murud,Paddy(Dhan),16/02/2019,1798.0,3351.0,1865.0
Pondicherry,Pondicherry,Thattanchavady,Paddy(Dhan),11/07/2019,1813.0,3187.0,1872.0
Tamil Nadu,Sivaganga,Karaikudi,Paddy(Dhan),17/05/2019,1677.0,3051.0,1875.0
Telangana,Ranga Reddy Dist.,Tanduru,Paddy(Dhan),05/05/2019,1737.0,2977.0,1877.0
West Bengal,Bankura,Khatra,Paddy(Dhan),26/03/2019,1619.0,2896.0,1920.0
Himachal Pradesh,Kullu,Bandrol,Persimon(Japani Fal),28/09/2019,289.0,3096.0,965.0
Himachal Pradesh,Kullu,Bandrol,Persimon(Japani Fal),23/10/2019,289.0,3096.0,965.0
Himachal Pradesh,Kullu,Bhuntar,Persimon(Japani Fal),21/09/2019,291.0,3093.0,967.0
Himachal Pradesh,Mandi,Dhanotu (Mandi),Persimon(Japani Fal),03/10/2019,298.0,3081.0,973.0
Himachal Pradesh,Mandi,Mandi(Mandi),Persimon(Japani Fal),19/11/2019,315.0,3059.0,984.0
Himachal Pradesh,Kullu,Bandrol,Persimon(Japani Fal),05/10/2019,289.0,3096.0,965.0
Himachal Pradesh,Kullu,Bhuntar,Persimon(Japani Fal),02/11/2019,291.0,3094.0,967.0
Himachal Pradesh,Kullu,Kullu,Persimon(Japani Fal),27/10/2019,314.0,3064.0,982.0
Himachal Pradesh,Mandi,Dhanotu (Mandi),Persimon(Japani Fal),22/09/2019,298.0,3081.0,973.0
Himachal Pradesh,Mandi,Mandi(Mandi),Persimon(Japani Fal),28/09/2019,315.0,3059.0,984.0
Andaman and Nicobar,Nicobar,Car Nicobar,Raddish,09/09/2019,793.0,3105.0,714.0
Andaman and Nicobar,South Andaman,Port Blair,Raddish,18/06/2019,846.0,3028.0,747.0
Andhra Pradesh,Chittor,Tirupati,Raddish,17/08/2019,837.0,3051.0,726.0
Andhra Pradesh,Prakasam,Ongole(Rythu Bazar),Raddish,06/04/2019,837.0,3005.0,736.0
Gujarat,Ahmedabad,Dholka(Market Yard Veg),Raddish,07/02/2019,772.0,2924.0,690.0
Haryana,Yamuna Nagar,Chhachrauli,Raddish,04/10/2019,773.0,2759.0,737.0
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Raddish,21/10/2019,788.0,2702.0,720.0
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore",Raddish,20/05/2019,726.0,2675.0,687.0
Maharashtra,Nagpur,Nagpur,Raddish,01/04/2019,693.0,2427.0,737.0
Punjab,Hoshiarpur,Mukerian,Raddish,06/01/2019,604.0,2263.0,725.0
